"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit","track_name","track_number","album_name","key_mode","popularity"
"One Direction","2015-11-13",2015,0.64,0.681,6,-5.362,0.0334,0.0438,0,0.166,0.676,118.062,4,177973,FALSE,"Olivia",9,"Made In The A.M. (Deluxe Edition)","F# major",71
"One Direction","2012-05-25",2012,0.582,0.903,11,-2.155,0.0576,0.0191,0,0.374,0.639,144.973,4,185653,FALSE,"Na Na Na",17,"Up All Night","B major",60
"One Direction","2012-05-25",2012,0.713,0.718,2,-3.806,0.0278,0.00233,0,0.0838,0.656,126.999,4,197600,FALSE,"One Thing",3,"Up All Night","D major",75
"Harry Styles","2019-12-13",2019,0.603,0.621,2,-7.14,0.0267,0.328,3.49e-05,0.119,0.7,94.022,4,189786,FALSE,"Canyon Moon",10,"Fine Line","D major",72
"Niall Horan","2020-03-13",2020,0.638,0.725,10,-6.054,0.0387,0.165,0,0.152,0.528,136.059,4,192154,FALSE,"San Francisco",13,"Heartbreak Weather","A# major",54
"Harry Styles","2019-12-13",2019,0.758,0.436,0,-7.269,0.0418,0.618,1.61e-05,0.335,0.605,104.959,4,192080,FALSE,"To Be So Lonely",7,"Fine Line","C major",72
"Louis Tomlinson","2020-01-31",2020,0.632,0.724,4,-4.821,0.0308,0.0384,0,0.0554,0.553,100.073,4,187466,FALSE,"Always You",8,"Walls","E major",66
"Harry Styles","2017-05-12",2017,0.427,0.262,7,-8.541,0.0276,0.746,0,0.068,0.228,104.085,4,224866,FALSE,"Sweet Creature",5,"Harry Styles","G major",75
"Harry Styles","2017-05-12",2017,0.389,0.537,10,-6.761,0.0309,0.2,3.13e-06,0.125,0.383,127.964,5,253386,FALSE,"Ever Since New York",8,"Harry Styles","A# major",69
"Harry Styles","2017-05-12",2017,0.554,0.842,5,-4.113,0.0397,0.287,0,0.106,0.348,114.036,4,291080,FALSE,"Only Angel",6,"Harry Styles","F major",70
"One Direction","2013-11-25",2013,0.623,0.89,9,-4.783,0.0394,0.0426,0,0.153,0.824,117,4,175480,FALSE,"Happily",8,"Midnight Memories (Deluxe)","A major",68
"One Direction","2012-11-12",2012,0.672,0.388,0,-8.009,0.0315,0.54,0,0.223,0.552,113.051,4,180066,FALSE,"Truly Madly Deeply",18,"Take Me Home (Expanded Edition)","C major",60
"ZAYN","2018-12-14",2018,0.684,0.516,11,-9.198,0.114,0.377,0,0.0818,0.456,82.962,4,205413,TRUE,"I Don't Mind",12,"Icarus Falls","B minor",50
"Louis Tomlinson","2020-01-31",2020,0.617,0.358,2,-8.498,0.0273,0.253,0,0.171,0.209,134.977,4,186400,FALSE,"Perfect Now",10,"Walls","D major",57
"Harry Styles","2022-05-20",2022,0.72,0.715,11,-4.652,0.04,0.258,0.0568,0.107,0.357,107.041,4,193813,FALSE,"Music For a Sushi Restaurant",1,"Harry's House","B major",82
"Niall Horan","2020-03-13",2020,0.531,0.549,7,-6.204,0.0271,0.0555,1.79e-05,0.177,0.655,144.944,4,234488,FALSE,"Bend The Rules",4,"Heartbreak Weather","G major",54
"One Direction","2012-05-25",2012,0.674,0.814,7,-2.814,0.0391,0.0182,0,0.079,0.491,128.092,4,173586,FALSE,"I Want",9,"Up All Night","G major",59
"One Direction","2014-11-17",2014,0.672,0.52,8,-7.747,0.0353,0.859,0,0.115,0.37,120.001,4,226600,FALSE,"Night Changes",7,"FOUR (Deluxe)","G# major",88
"Harry Styles","2017-05-12",2017,0.516,0.595,5,-4.63,0.0313,0.0275,0,0.109,0.222,119.972,4,340706,FALSE,"Sign of the Times",2,"Harry Styles","F major",85
"Liam Payne","2019-12-06",2019,0.645,0.761,1,-6.278,0.135,0.206,0,0.0681,0.527,171.933,4,235816,TRUE,"Rude Hours",8,"LP1","C# major",37
"One Direction","2015-11-13",2015,0.586,0.527,3,-4.905,0.0309,0.227,0,0.0963,0.506,141.839,4,209040,FALSE,"A.M.",17,"Made In The A.M. (Deluxe Edition)","D# major",65
"ZAYN","2018-12-14",2018,0.4,0.662,11,-6.042,0.199,0.424,0,0.0886,0.324,81.177,4,175773,FALSE,"Insomnia",24,"Icarus Falls","B minor",51
"Liam Payne","2019-12-06",2019,0.535,0.8,2,-4.569,0.0342,0.0183,0,0.421,0.175,113.023,4,242827,FALSE,"For You (With Rita Ora)",13,"LP1","D minor",65
"One Direction","2013-11-25",2013,0.652,0.877,1,-2.986,0.0465,0.0227,0,0.0789,0.486,118.491,4,200106,FALSE,"Best Song Ever",1,"Midnight Memories (Deluxe)","C# major",78
"ZAYN","2018-12-14",2018,0.619,0.751,5,-4.22,0.0496,0.0169,0.000108,0.0949,0.46,122.138,4,195026,FALSE,"No Candle No Light (feat. Nicki Minaj)",25,"Icarus Falls","F minor",52
"One Direction","2014-11-17",2014,0.508,0.895,9,-3.745,0.0414,0.0424,0,0.198,0.495,168.941,4,201853,FALSE,"Girl Almighty",5,"FOUR (Deluxe)","A major",65
"ZAYN","2018-12-14",2018,0.768,0.329,7,-11.956,0.0904,0.643,4.16e-05,0.234,0.35,96.009,4,200546,FALSE,"Flight Of The Stars",8,"Icarus Falls","G major",51
"One Direction","2013-11-25",2013,0.432,0.868,6,-2.01,0.0882,0.00725,0,0.233,0.567,156.128,4,176320,FALSE,"Midnight Memories",4,"Midnight Memories (Deluxe)","F# minor",69
"ZAYN","2018-12-14",2018,0.452,0.688,0,-4.84,0.0385,0.0263,0,0.11,0.313,76.99,4,199600,FALSE,"There You Are",11,"Icarus Falls","C minor",65
"One Direction","2015-11-13",2015,0.714,0.443,5,-7.638,0.0256,0.779,0.000109,0.144,0.463,106.038,4,179013,FALSE,"I Want to Write You a Song",12,"Made In The A.M. (Deluxe Edition)","F major",63
"Niall Horan","2020-03-13",2020,0.49,0.806,8,-4.867,0.0387,0.0283,0,0.0657,0.547,148.021,4,160373,FALSE,"Arms Of A Stranger",8,"Heartbreak Weather","G# minor",56
"Niall Horan","2017-10-20",2017,0.716,0.555,9,-7.57,0.0371,0.0372,0,0.105,0.483,93.973,4,185280,FALSE,"Seeing Blind",3,"Flicker (Deluxe)","A major",67
"Niall Horan","2017-10-20",2017,0.564,0.483,0,-8.105,0.0257,0.0654,3.17e-06,0.324,0.596,153.985,4,184951,FALSE,"You And Me",10,"Flicker (Deluxe)","C major",53
"Harry Styles","2022-05-20",2022,0.707,0.811,4,-5.298,0.0304,0.311,0.0152,0.131,0.899,113.971,4,187342,FALSE,"Daydreaming",9,"Harry's House","E minor",77
"Niall Horan","2017-10-20",2017,0.575,0.609,2,-7.434,0.0301,0.00989,0,0.125,0.37,139.961,4,218396,FALSE,"Mirrors",12,"Flicker (Deluxe)","D major",58
"One Direction","2014-11-17",2014,0.678,0.933,2,-4.959,0.14,0.0734,0,0.0863,0.336,120.572,4,214720,FALSE,"Stockholm Syndrome",11,"FOUR (Deluxe)","D major",69
"Louis Tomlinson","2022-11-11",2022,0.531,0.726,11,-4.518,0.0344,0.028,0,0.284,0.495,90.01,4,181480,FALSE,"The Greatest",1,"Faith In The Future (Deluxe)","B major",63
"ZAYN","2018-12-14",2018,0.639,0.411,2,-5.979,0.042,0.55,0,0.141,0.158,96.965,4,180120,FALSE,"Good Years",21,"Icarus Falls","D major",61
"ZAYN","2016-03-25",2016,0.364,0.161,9,-18.356,0.0332,0.934,0.0712,0.11,0.21,118.445,4,104240,FALSE,"INTERMISSION: fLoWer",7,"Mind Of Mine (Deluxe Edition)","A major",49
"ZAYN","2016-03-25",2016,0.611,0.319,5,-10.743,0.0357,0.815,0.0151,0.108,0.176,124.92,4,226653,TRUE,"iT's YoU",3,"Mind Of Mine (Deluxe Edition)","F major",60
"One Direction","2012-11-12",2012,0.72,0.725,4,-5.996,0.0463,0.00603,0,0.24,0.679,126.471,4,200920,FALSE,"I Would",9,"Take Me Home (Expanded Edition)","E major",64
"Liam Payne","2019-12-06",2019,0.63,0.703,6,-4.854,0.114,0.225,0,0.227,0.474,75.063,4,116970,FALSE,"Heart Meet Break",4,"LP1","F# minor",45
"ZAYN","2021-01-15",2021,0.397,0.245,2,-10.92,0.0397,0.825,0.00403,0.187,0.291,94.243,3,236040,FALSE,"River Road",11,"Nobody Is Listening","D major",43
